NP_type,Coating,core_size_nm,hydro_size_nm,Surf_charge_mV,Surface_area_m2_g,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
MgO,None,39.2,,11.6,,Sphere,0.0,12.0,HCMEC,Human,Heart,Endothelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,97.03
CoO,None,71.8,208.3,21.6,,,3.2,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,LDH,LDHrelease,meta_oxide,94.6
NiO,None,20.0,223.5,-12.1,,,750.0,,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,CytoTox-Glo,Dead-Cell-Protease,meta_oxide,16.1
IronOxide,PEG_based,361.4,,12.1,,,0.0,72.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,LDH,LDHrelease,meta_oxide,23.14
TiO2,None,125.0,1054.0,-40.8,38.0,,50.0,12.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,80.51
MnO,None,14.0,,,,,0.11,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,Live/Dead,CalceinAM,meta_oxide,32.53
IronOxide,BSA,12.0,,,,,1.4,6.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,Alamar_Blue,AlamarBlue,meta_oxide,100.07
SiO2,COOH,120.0,,-28.7,,Sphere,200.0,96.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,meta_oxide,90.68
TiO2,None,35.0,,,,,0.0,4.0,A549,Human,Lung,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,meta_oxide,76.4
ZnO,Cystein_based,20.0,,,,,0.0,36.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,CellTiterBlue,AlamarBlue,meta_oxide,0.22
IronOxide,silica_based,188.0,,-6.52,,Sphere,100.0,24.0,HK-2,Human,Kidney,Epithelial,Adult,cancer,male,XTT,TetrazoliumSalt,meta_oxide,54.66
ZnO,None,8.0,,,,,625.0,24.0,NK cells,Human,Blood,Lymphoblast,Adult,Normal,,Live/Dead,propidium_iodide,meta_oxide,62.79
ZnO,None,245.0,,-15.8,,Sphere,8.0,12.0,HEK,Human,Skin,Keratinocyte,Adult,cancer,female,MTT,TetrazoliumSalt,meta_oxide,84.34
Co3O4,None,10.0,222.7,24.6,,,50.0,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,ATPLite,luciferase,meta_oxide,23.8
MgO,None,39.2,,11.6,,Sphere,50.0,24.0,HCMEC,Human,Heart,Endothelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,72.13
SiO2,None,100.33,,-31.7,,Sphere,100.0,72.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,51.71
Cu2O,None,88.5,,,,,0.0,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTT,TetrazoliumSalt,meta_oxide,95.24
ZnO,None,141.0,404.0,,,Sphere,12.5,9.0,SIRC,Rabbit,Cornea,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,80.66
